"id","source","section","page","chunkIndex","totalChunksOnPage","text","sourceUrl","catalogUrl","extractedAt"
"dgs_ecatalog-p14-c1","dgs_ecatalog","A","14","1","5","‧玻璃燒杯..........A-3‧塑膠燒杯..........A-6‧量杯.............A-10‧三角燒瓶.........A-11‧過濾吸引瓶.......A-15‧平底燒瓶.........A-16‧圓底燒瓶.........A-17‧茄型燒瓶.........A-17‧梨型燒瓶.........A-19‧反應槽...........A-20‧蒸餾裝置.........A-22‧脂肪抽出器.......A-23‧乾燥管...........A-24‧氣體洗滌瓶.......A-25‧層析管...........A-26‧展開槽...........A-29‧冷凝管...........A-31‧緩衝瓶...........A-33‧磨砂轉接頭.......A-34‧連接管...........A-35‧抽氣接頭.........A-36‧襯套.............A-37‧玻璃量筒.........A-38‧塑膠量筒.........A-41‧玻璃量瓶.........A-42‧茶色量瓶.........A-44‧塑膠量瓶.........A-46‧滴管.............A-48‧毛細管...","https://ec.dgs.com.tw/catalog/files/basic-html/page14.html","https://ec.dgs.com.tw/catalog/catalog.html#p=14","2026-02-24T05:56:40.562Z"
"dgs_ecatalog-p14-c2","dgs_ecatalog","A","14","2","5",".....A-41‧玻璃量瓶.........A-42‧茶色量瓶.........A-44‧塑膠量瓶.........A-46‧滴管.............A-48‧毛細管...........A-49‧玻璃試管.........A-50‧螺蓋試管.........A-51‧反應管...........A-52‧溶劑儲存瓶管.....A-53‧塑膠試管.........A-54‧試管蓋...........A-55‧離心管...........A-56‧微量離心管.......A-62‧PCR反應管.......A-63‧PCR反應盤.......A-64‧冷凍小瓶.........A-65‧培養皿..........A-66‧接種棒...........A-68‧蓋玻片..........A-69‧載玻片...........A-70‧玻璃計算盤.......A-71‧染色壺...........A-73‧玻片盒...........A-75‧玻片放置盤.......A-77‧組織研磨器.......A-78‧核磁管...........A-80‧通氣管...........A-81‧坩堝型過濾器.....A-82‧漏斗","https://ec.dgs.com.tw/catalog/files/basic-html/page14.html","https://ec.dgs.com.tw/catalog/catalog.html#p=14","2026-02-24T05:56:40.562Z"
"dgs_ecatalog-p14-c3","dgs_ecatalog","A","14","3","5","玻片放置盤.......A-77‧組織研磨器.......A-78‧核磁管...........A-80‧通氣管...........A-81‧坩堝型過濾器.....A-82‧漏斗型過濾器.....A-83‧玻璃過濾器.......A-85‧磁性過濾器.......A-88‧多連式過濾座.....A-89‧布氏漏斗.........A-90‧漏斗.............A-91‧分液漏斗.........A-93‧乳脂瓶...........A-95‧沉澱管...........A-96‧比色槽...........A-97‧呈色反應盤.......A-99‧錶面皿..........A-100‧乾燥器..........A-101‧橡膠管..........A-102‧TYGON管........A-103‧軟管量測器......A-104‧塑膠接管........A-105‧螺牙接管........A-106‧多孔螺蓋........A-107‧塑膠活栓........A-109‧攪拌子..........A-111‧結晶皿..........A-114‧瓷坩堝..........A-115‧乳缽...........","https://ec.dgs.com.tw/catalog/files/basic-html/page14.html","https://ec.dgs.com.tw/catalog/catalog.html#p=14","2026-02-24T05:56:40.562Z"
"dgs_ecatalog-p14-c4","dgs_ecatalog","A","14","4","5","7‧塑膠活栓........A-109‧攪拌子..........A-111‧結晶皿..........A-114‧瓷坩堝..........A-115‧乳缽............A-116‧試管架..........A-117‧離心管架........A-120‧冰桶............A-123‧PCR管架........A-124‧冷凍盒..........A-125‧冷凍小瓶架......A-127‧不鏽鋼線網籃....A-128‧坩堝夾..........A-129‧管路夾..........A-130‧磨砂接頭夾......A-131‧三叉夾..........A-132‧漏斗架..........A-133‧鐵台............A-134‧固定夾..........A-135‧晾乾架..........A-136‧燒瓶墊..........A-138‧藥匙............A-139‧藥鏟...........A-140‧鑷子............A-141‧剪刀............A-142‧毛刷............A-143‧推車............A-144‧磨砂塞...","https://ec.dgs.com.tw/catalog/files/basic-html/page14.html","https://ec.dgs.com.tw/catalog/catalog.html#p=14","2026-02-24T05:56:40.562Z"
"dgs_ecatalog-p14-c5","dgs_ecatalog","A","14","5","5","140‧鑷子............A-141‧剪刀............A-142‧毛刷............A-143‧推車............A-144‧磨砂塞..........A-145‧矽／橡膠塞......A-147‧透氣塞..........A-148‧矽膠封口蓋......A-149‧矽/橡膠帽.......A-150‧注射筒..........A-151‧微量注射器......A-152‧封口蠟膜........A-154‧彩色標籤膠帶....A-155‧符號筆..........A-156‧秤量皿..........A-157‧吸管試劑槽......A-160‧玻璃加工活栓....A-161‧玻璃磨砂接頭....A-162‧中孔螺蓋........A-163‧玻璃管..........A-164A-002 以上價格與規格僅供參考 , 請以實際報價為主 以上價格與規格僅供參考 , 請以實際報價為主 基礎實驗器材 A GENERAL LABWARE","https://ec.dgs.com.tw/catalog/files/basic-html/page14.html","https://ec.dgs.com.tw/catalog/catalog.html#p=14","2026-02-24T05:56:40.562Z"
"dgs_ecatalog-p15-c1","dgs_ecatalog","A","15","1","4","貨號 容量mL ØxH(mm) ea/bx/cs 價格eaAK14000-00010AK14000-00020AK14000-00100AK14000-00150AK14000-00400AK14000-00600AK14000-00800AK14000-01000AK14000-01500AK14000-02000AK14000-040001020100150400600800100015002000400025x3232x4050x7157x7977x10688x12298x136107x145120x165130x190161x25012/412/412/412/412/46/66/46/44/44/21/6低型燒杯 KIMBLEBeaker, Griffin, Low Form˙KG-33硼矽酸玻璃製成˙刻度清晰,標示區易寫耐用˙壁厚均勻,並具有優良之傾倒功能不滴漏˙適用於混合或量測液態樣本貨號 容量mL ØxH(mm) ea/bx 價格eaAS1000-00005AS1000-00010AS1000-00025AS1000-00050AS1000-00100AS1000-00150AS1000-00250AS100","https://ec.dgs.com.tw/catalog/files/basic-html/page15.html","https://ec.dgs.com.tw/catalog/catalog.html#p=15","2026-02-24T05:56:40.562Z"
"dgs_ecatalog-p15-c2","dgs_ecatalog","A","15","2","4","aAS1000-00005AS1000-00010AS1000-00025AS1000-00050AS1000-00100AS1000-00150AS1000-00250AS1000-00400AS1000-00600AS1000-00800AS1000-01000AS1000-02000AS1000-03000AS1000-05000AS1000-10000510255010015025040060080010002000300050001000022x3026x3534x5042x6050x7060x8070x9580x11090x125100x135105x145130x185150x210170x270217x350101010101010101010101010411低型燒杯 PYREXBeaker, Griffin, Low Form˙符合ISO 3819和DIN 12331˙Pyrex 硼矽酸玻璃製成˙白色刻度及書寫區˙良好的散熱性能及高抗化學侵蝕性˙玻璃瓶身印有產品追溯碼,可下載批 次證書 (5mL、10mL無追溯碼,僅可提供材質證明)貨號 容量mL ØxH(mm) ea/bx 價格eaBS-2110607B","https://ec.dgs.com.tw/catalog/files/basic-html/page15.html","https://ec.dgs.com.tw/catalog/catalog.html#p=15","2026-02-24T05:56:40.562Z"
"dgs_ecatalog-p15-c3","dgs_ecatalog","A","15","3","4","及高抗化學侵蝕性˙玻璃瓶身印有產品追溯碼,可下載批 次證書 (5mL、10mL無追溯碼,僅可提供材質證明)貨號 容量mL ØxH(mm) ea/bx 價格eaBS-2110607BS-2110608BS-2110614BS-2110617BS-2110624BS-2110629BS-2110636BS-2110641BS-2110648BS-2110653BS-2110654BS-2110663BS-2110668BS-2110673BS-2110686510255010015025040060080010002000300050001000022x3026x3534x5042x6050x7060x8070x9580x11090x125100x135105x145132x185152x210170x270217x350101010101010101010101010411低型燒杯 DURANBeaker, Griffin, Low Form˙DURAN硼矽酸玻璃材質˙刻度清晰,標示區易寫耐用˙適用於混合或量測液態樣本貨號 容量ml ODxH(mm) 價格eaABO-1001006ABO-1001008ABO-1001010A","https://ec.dgs.com.tw/catalog/files/basic-html/page15.html","https://ec.dgs.com.tw/catalog/catalog.html#p=15","2026-02-24T05:56:40.562Z"
"dgs_ecatalog-p15-c4","dgs_ecatalog","A","15","4","4","AN硼矽酸玻璃材質˙刻度清晰,標示區易寫耐用˙適用於混合或量測液態樣本貨號 容量ml ODxH(mm) 價格eaABO-1001006ABO-1001008ABO-1001010ABO-1001D12ABO-1001D16ABO-1001D18ABO-1001D21ABO-1001D23ABO-1001D25ABO-1001D28ABO-1001D29ABO-1001D30102030501001502504006008001000200025x3532x4235x5042x6050x7056x8570x9577x11090x125100x135105x145130x185低型燒杯 BOROSILBeaker, Griffin, Low Form˙硼矽酸玻璃製成˙符合ASTM E960規範˙白色雙刻度印刷及書寫區˙良好的散熱性能及抗化學侵蝕性A基礎實驗器材以上價格與規格僅供參考 , 請以實際報價為主 以上價格與規格僅供參考 , 請以實際報價為主 A-003玻璃燒杯","https://ec.dgs.com.tw/catalog/files/basic-html/page15.html","https://ec.dgs.com.tw/catalog/catalog.html#p=15","2026-02-24T05:56:40.562Z"
"dgs_ecatalog-p16-c1","dgs_ecatalog","A","16","1","4","低型燒杯 經濟型Beaker, Griffin, Low Form˙硼矽酸玻璃製成˙刻度清晰˙適用於混合或量測液態樣本,如需加熱實驗,建議使用進口廠牌貨號 容量mL 價格eaDG1101-03DG1101-05DG1101-10DG1101-15DG1101-20DG1101-25DG1101-27DG1101-30DG1101-35DG1101-37DG1101-38DG1101-40DG1101-45DG1101-47DG1101-50DG1101-552550100150200250300400500600800100020003000500010000低型燒杯 厚壁 KIMBLEBeaker, Heavy-Duty, Low Form˙KG-33硼矽酸玻璃製成˙外觀渾厚,且厚度均勻˙杯緣處更加強厚度,以增強其使用壽命˙適用於機械式之振盪器˙不建議用於急速增溫及溫控不良之加熱板(器)上貨號 容量mL ØxH(mm) ea/bx/cs 價格eaAK14005-00250AK14005-00400AK14005-00600AK14005-01000AK14005-02000AK14005-04000250400600100","https://ec.dgs.com.tw/catalog/files/basic-html/page16.html","https://ec.dgs.com.tw/catalog/catalog.html#p=16","2026-02-24T05:56:40.562Z"
"dgs_ecatalog-p16-c2","dgs_ecatalog","A","16","2","4","AK14005-00250AK14005-00400AK14005-00600AK14005-01000AK14005-02000AK14005-0400025040060010002000400067x9277x11487x122107x152130x190161x25212/412/46/66/44/21/4低型燒杯 厚壁 PYREXBeaker, Heavy-Duty, Low Form˙符合ISO 3819˙Pyrex 硼矽酸玻璃製成˙白色刻度及書寫區˙較厚的杯體及較厚重的底部˙杯緣處加強厚度,以增強其使用壽命貨號 容量mL ØxH(mm) ea/bx 價格eaAS1003-00150AS1003-00250AS1003-00400AS1003-00600AS1003-01000AS1003-02000AS1003-0500015025040060010002000500057x8968x9077x11090x124108x156131x179180x3001212126641低型燒杯 厚壁 BOROSILBeaker, Heavy-Duty, Low Form˙硼矽酸玻璃製成˙符合ASTM E960規範˙白色雙刻度","https://ec.dgs.com.tw/catalog/files/basic-html/page16.html","https://ec.dgs.com.tw/catalog/catalog.html#p=16","2026-02-24T05:56:40.562Z"
"dgs_ecatalog-p16-c3","dgs_ecatalog","A","16","3","4","79180x3001212126641低型燒杯 厚壁 BOROSILBeaker, Heavy-Duty, Low Form˙硼矽酸玻璃製成˙符合ASTM E960規範˙白色雙刻度印刷及書寫區˙杯緣處加強厚度,增強其使用壽命貨號 容量ml ØxH(mm) 價格eaABO-1003018ABO-1003021ABO-1003023ABO-1003025ABO-1003029150250400600100056x8568x9577x11590x130105x155低型燒杯 厚壁 SYNTHWAREBeaker, Heavy-Duty, Low Form˙硼矽酸玻璃製成˙白色雙刻度印刷及書寫區˙較厚的杯體及較厚重的底部˙杯緣處加強厚度,以增強其使用壽命貨號 容量mL ØxH(mm) ea/bx 價格eaASG-B220050ASG-B220100ASG-B220150ASG-B220250ASG-B220500ASG-B231000ASG-B232000ASG-B233000ASG-B23500050100150250500100020003000500042x6050x7860x8070x9885x125107x145136x2","https://ec.dgs.com.tw/catalog/files/basic-html/page16.html","https://ec.dgs.com.tw/catalog/catalog.html#p=16","2026-02-24T05:56:40.562Z"
"dgs_ecatalog-p16-c4","dgs_ecatalog","A","16","4","4","ASG-B233000ASG-B23500050100150250500100020003000500042x6050x7860x8070x9885x125107x145136x208150x240180x26510101010101111高型燒杯 具嘴 KIMBLEBeaker, Tall Form, with Spout˙KG-33硼矽酸玻璃製成˙高型,具嘴˙刻度清晰貨號 容量mL ØxH(mm) ea/bx/cs 價格eaAK14030-00100AK14030-00200AK14030-00300AK14030-00400AK14030-00600AK14030-01000100200300400600100050x7857x10464x11870x12780x15090x18812/412/412/46/66/46/3A基礎實驗器材A-004 以上價格與規格僅供參考 , 請以實際報價為主 玻璃燒杯","https://ec.dgs.com.tw/catalog/files/basic-html/page16.html","https://ec.dgs.com.tw/catalog/catalog.html#p=16","2026-02-24T05:56:40.562Z"
"dgs_ecatalog-p17-c1","dgs_ecatalog","A","17","1","4","貨號 容量mL ØxH(mm) ea/bx 價格eaAS1015-00050AS1015-00100AS1015-00150AS1015-00250AS1015-00400AS1015-00600AS1015-01000AS1015-02000501001502504006001000200038x7048x8054x9560x12070x13080x15095x180120x2401010101010101010高型燒杯 具嘴 PYREXBeaker, Tall form, with Spout˙符合ISO 3819和DIN 12331˙Pyrex 硼矽酸玻璃製成˙白色刻度及書寫區˙良好的散熱性能及高抗化學侵蝕性˙玻璃瓶身印有產品追溯碼,可下載批次證書(400mL無追溯碼,僅可提供材質證明)貨號 容量ml ØxH(mm) 價格eaABO-1070016ABO-1070020ABO-1070022ABO-1070023ABO-1070024ABO-1070025ABO-1070029100200300400500600100048x8056x10565x12070x13077x14080x15590x190高型燒杯 具嘴 B","https://ec.dgs.com.tw/catalog/files/basic-html/page17.html","https://ec.dgs.com.tw/catalog/catalog.html#p=17","2026-02-24T05:56:40.562Z"
"dgs_ecatalog-p17-c2","dgs_ecatalog","A","17","2","4","1070025ABO-1070029100200300400500600100048x8056x10565x12070x13077x14080x15590x190高型燒杯 具嘴 BOROSILBeaker, Tall form, with spout˙硼矽酸玻璃製成˙符合ASTM E960規範˙白色雙刻度印刷及書寫區˙良好的散熱性能及抗化學侵蝕性高型燒杯 具嘴 經濟型Beaker, Tall Form, with Spout˙硼矽酸玻璃製成˙刻度清晰,高型,具嘴˙適用於混合或量測液態樣本,如需加熱實驗,建議使用進口廠牌˙價格低廉,適合各級學校單位使用貨號 容量mL 價格eaDG1102-05DG1102-07DG1102-10DG1102-15DG1102-20DG1102-251001502504006001000 高型燒杯無具嘴 KIMBLEBeaker, Tall Form, without Spout˙KG-33硼矽酸玻璃製成˙無具嘴˙刻度清晰貨號 容量mL ØxH(mm) ea/bx 價格eaAK14020-00100AK14020-00200AK14020-00300AK14020-00400AK14020-00","https://ec.dgs.com.tw/catalog/files/basic-html/page17.html","https://ec.dgs.com.tw/catalog/catalog.html#p=17","2026-02-24T05:56:40.562Z"
"dgs_ecatalog-p17-c3","dgs_ecatalog","A","17","3","4","清晰貨號 容量mL ØxH(mm) ea/bx 價格eaAK14020-00100AK14020-00200AK14020-00300AK14020-00400AK14020-00600AK14020-01000100200300400600100050x7857x10464x11870x12780x15090x188121212666貨號 容量ml ØxH(mm) 價格eaABO-1050016ABO-1050020ABO-1050022ABO-1050023ABO-1050024ABO-1050025ABO-1050029100200300400500600100048x8056x10565x12070x13077x14080x15590x190高型燒杯 無具嘴 BOROSILBeaker, Tall form, without spout˙硼矽酸玻璃製成˙符合ASTM E960規範˙白色雙刻度印刷及書寫區˙良好的散熱性能及抗化學侵蝕性貨號 容量mL ØxH(mm) ea/bx 價格eaAS1004-00150AS1004-00250AS1004-0060015025060054x9560x12080x150101010","https://ec.dgs.com.tw/catalog/files/basic-html/page17.html","https://ec.dgs.com.tw/catalog/catalog.html#p=17","2026-02-24T05:56:40.562Z"
"dgs_ecatalog-p17-c4","dgs_ecatalog","A","17","4","4","量mL ØxH(mm) ea/bx 價格eaAS1004-00150AS1004-00250AS1004-0060015025060054x9560x12080x150101010高型燒杯 厚壁 PYREXBeaker, Heavy-Duty, Tall Form˙Pyrex硼矽酸玻璃製成˙白色刻度及書寫區,刻度為近似值˙較厚的杯體及較厚重的底部˙杯緣處加強厚度,以增強其使用壽命˙玻璃瓶身印有產品追溯碼,可下載批次證書A基礎實驗器材以上價格與規格僅供參考 , 請以實際報價為主 A-005玻璃燒杯","https://ec.dgs.com.tw/catalog/files/basic-html/page17.html","https://ec.dgs.com.tw/catalog/catalog.html#p=17","2026-02-24T05:56:40.562Z"
"dgs_ecatalog-p18-c1","dgs_ecatalog","A","18","1","4","燒瓶式燒杯 具嘴 KIMBLEBeaker,Combination Beaker and Flask, Graduated with Pour Spouts,BEAKERplusTM貨號 容量mL ØxH(mm) ea/cs 價格eaAK14035-00150AK14035-00250AK14035-00500AK14035-01000AK14035-012001502505001000120070x8070x10770x17895x22295x25466622˙KG-33硼矽酸玻璃製成˙刻度清晰,標示區易寫耐用˙窄口設計,可放置漏斗過濾,攪拌時亦可減少液體的飛濺錐型燒杯 PYREXBeaker, Philips, Conical貨號 容量mL ODxH(mm) 瓶口OD(mm) 價格eaAS1020-00006DAS1020-00016D25050068x10586x1425259˙Pyrex硼矽酸玻璃製成˙適用於混合或量測液態樣本貨號 容量mL ØxH(mm) ea/bx 價格eaBS-2114129BS-2114136BS-211414415025050059x8768x10586x142101010錐型燒杯 DURA","https://ec.dgs.com.tw/catalog/files/basic-html/page18.html","https://ec.dgs.com.tw/catalog/catalog.html#p=18","2026-02-24T05:56:40.562Z"
"dgs_ecatalog-p18-c2","dgs_ecatalog","A","18","2","4","ØxH(mm) ea/bx 價格eaBS-2114129BS-2114136BS-211414415025050059x8768x10586x142101010錐型燒杯 DURANBeaker,Philips,Conical˙DURAN硼矽酸玻璃材質˙適用於混合或量測液態樣本貨號 容量mL 價格eaDG1103-05DG1103-10DG1103-15125250500錐形燒杯 經濟型Beaker, with spout˙硼矽酸玻璃製成˙刻度清晰˙適用於混合或量測液態樣本,如需加熱實驗,建議使用進口廠牌˙價格低廉,適合各級學校單位使用有柄燒杯 經濟型Beaker with Handle˙玻璃材質˙具把手及刻度貨號 容量mL 價格eaDG1107-00100DG1107-00250DG1107-00500DG1107-01000DG1107-02000DG1107-03000DG1107-050001002505001000200030005000有柄燒杯 厚壁 SYNTHWAREBeaker, with Handle,Heavy-Duty˙硼矽酸玻璃製成˙無具嘴˙白色雙刻度印刷及書寫區˙較厚的杯體及較厚重的底部˙杯緣處加強","https://ec.dgs.com.tw/catalog/files/basic-html/page18.html","https://ec.dgs.com.tw/catalog/catalog.html#p=18","2026-02-24T05:56:40.562Z"
"dgs_ecatalog-p18-c3","dgs_ecatalog","A","18","3","4","有柄燒杯 厚壁 SYNTHWAREBeaker, with Handle,Heavy-Duty˙硼矽酸玻璃製成˙無具嘴˙白色雙刻度印刷及書寫區˙較厚的杯體及較厚重的底部˙杯緣處加強厚度,以增強其使用壽命貨號 容量mL ØxH(mm) 價格eaASG-B190050ASG-B190100ASG-B190250ASG-B190500ASG-B19100050100250500100042x6050x7777x9680x125107x145無柄燒杯 PP KartellBeaker without Handle, PP˙PP材質˙燒杯具嘴,傾倒方便˙半透明˙藍色刻度印刷於燒杯表面貨號 容量/刻度mL ØxH(mm) ea/cs 價格eaBK-1821BK-1822BK-1823BK-1824BK-1825BK-1826BK-1827BK-818BK-81925/150/2100/5250/10500/101000/202000/503000/5005000/50034x4941x6051x7271x9587x119109x147132x183.5158x201188.5x22920201216124422 A基礎實驗器材A-006","https://ec.dgs.com.tw/catalog/files/basic-html/page18.html","https://ec.dgs.com.tw/catalog/catalog.html#p=18","2026-02-24T05:56:40.562Z"
"dgs_ecatalog-p18-c4","dgs_ecatalog","A","18","4","4","0/50034x4941x6051x7271x9587x119109x147132x183.5158x201188.5x22920201216124422 A基礎實驗器材A-006 以上價格與規格僅供參考 , 請以實際報價為主 塑膠燒杯","https://ec.dgs.com.tw/catalog/files/basic-html/page18.html","https://ec.dgs.com.tw/catalog/catalog.html#p=18","2026-02-24T05:56:40.562Z"
